======================================================================
  REGISTRO DE REQUESTS - NinoEdu API
  Data/hora : 22/08/2026, 14:54:08
  Formato   : Rodada | Execucao | Itens retornados
Rodada 135 | Execucao 1 | Itens: [LA, ZA, BA, TA]
Rodada 135 | Execucao 2 | Itens: [CA, PA, XA, JA]
Rodada 135 | Execucao 3 | Itens: [DA, RA, QUA, FA]
Rodada 136 | Execucao 1 | Itens: [A, QUA, BA, ZA]
Rodada 136 | Execucao 2 | Itens: [VA, QUA, FA, MA]
Rodada 136 | Execucao 3 | Itens: [LA, PA, DA, ZA]
Rodada 137 | Execucao 1 | Itens: [TA, QUA, NA, CA]
Rodada 137 | Execucao 2 | Itens: [VA, FA, BA, JA]
Rodada 137 | Execucao 3 | Itens: [NA, DA, CA, TA]
Rodada 138 | Execucao 1 | Itens: [XA, LA, QUA, FA]
Rodada 138 | Execucao 2 | Itens: [NA, ZA, RA, A]
Rodada 138 | Execucao 3 | Itens: [JA, TA, RA, PA]
Rodada 139 | Execucao 1 | Itens: [XA, RA, SA, VA]
Rodada 139 | Execucao 2 | Itens: [BA, LA, A, DA]
Rodada 139 | Execucao 3 | Itens: [FA, NA, MA, VA]
Rodada 140 | Execucao 1 | Itens: [NA, GA, SA, FA]
Rodada 140 | Execucao 2 | Itens: [NA, RA, MA, QUA]
Rodada 140 | Execucao 3 | Itens: [RA, A, LA, QUA]
Rodada 141 | Execucao 1 | Itens: [DA, A, FA, TA]
Rodada 141 | Execucao 2 | Itens: [A, FA, VA, RA]
Rodada 141 | Execucao 3 | Itens: [LA, FA, GA, A]
Rodada 142 | Execucao 1 | Itens: [NA, PA, ZA, TA]
Rodada 142 | Execucao 2 | Itens: [LA, TA, QUA, ZA]
Rodada 142 | Execucao 3 | Itens: [NA, RA, MA, SA]
Rodada 143 | Execucao 1 | Itens: [QUA, VA, SA, GA]
Rodada 143 | Execucao 2 | Itens: [CA, PA, LA, RA]
Rodada 143 | Execucao 3 | Itens: [A, VA, TA, LA]
Rodada 144 | Execucao 1 | Itens: [CA, XA, GA, MA]
Rodada 144 | Execucao 2 | Itens: [GA, VA, XA, BA]
Rodada 144 | Execucao 3 | Itens: [MA, TA, DA, CA]
Rodada 145 | Execucao 1 | Itens: [VA, DA, QUA, FA]
Rodada 145 | Execucao 2 | Itens: [MA, XA, BA, ZA]
Rodada 145 | Execucao 3 | Itens: [GA, TA, VA, NA]
Rodada 146 | Execucao 1 | Itens: [BA, FA, QUA, NA]
Rodada 146 | Execucao 2 | Itens: [TA, GA, VA, NA]
Rodada 146 | Execucao 3 | Itens: [VA, PA, FA, QUA]
Rodada 147 | Execucao 1 | Itens: [XA, QUA, CA, LA]
Rodada 147 | Execucao 2 | Itens: [LA, JA, CA, GA]
Rodada 147 | Execucao 3 | Itens: [BA, XA, DA, RA]
Rodada 148 | Execucao 1 | Itens: [BA, SA, MA, VA]
Rodada 148 | Execucao 2 | Itens: [ZA, SA, BA, JA]
Rodada 148 | Execucao 3 | Itens: [TA, JA, MA, VA]
Rodada 149 | Execucao 1 | Itens: [NA, PA, QUA, JA]
Rodada 149 | Execucao 2 | Itens: [FA, MA, PA, BA]
Rodada 149 | Execucao 3 | Itens: [SA, NA, CA, LA]
Rodada 150 | Execucao 1 | Itens: [A, BA, NA, JA]
Rodada 150 | Execucao 2 | Itens: [ZA, CA, XA, GA]
Rodada 150 | Execucao 3 | Itens: [GA, RA, DA, NA]
Rodada 151 | Execucao 1 | Itens: [GA, XA, BA, MA]
Rodada 151 | Execucao 2 | Itens: [SA, DA, FA, CA]
Rodada 151 | Execucao 3 | Itens: [CA, NA, TA, A]
Rodada 152 | Execucao 1 | Itens: [A, ZA, DA, QUA]
Rodada 152 | Execucao 2 | Itens: [MA, A, ZA, QUA]
Rodada 152 | Execucao 3 | Itens: [MA, DA, QUA, TA]
Rodada 153 | Execucao 1 | Itens: [TA, CA, FA, QUA]
Rodada 153 | Execucao 2 | Itens: [VA, SA, CA, ZA]
Rodada 153 | Execucao 3 | Itens: [A, LA, TA, SA]
Rodada 154 | Execucao 1 | Itens: [BA, SA, CA, FA]
Rodada 154 | Execucao 2 | Itens: [CA, PA, QUA, BA]
Rodada 154 | Execucao 3 | Itens: [XA, PA, FA, QUA]
Rodada 155 | Execucao 1 | Itens: [TA, SA, QUA, GA]
Rodada 155 | Execucao 2 | Itens: [LA, TA, QUA, MA]
Rodada 155 | Execucao 3 | Itens: [BA, GA, QUA, CA]
Rodada 156 | Execucao 1 | Itens: [NA, FA, MA, ZA]
Rodada 156 | Execucao 2 | Itens: [QUA, A, GA, MA]
Rodada 156 | Execucao 3 | Itens: [RA, VA, PA, LA]
Rodada 157 | Execucao 1 | Itens: [MA, RA, VA, FA]
Rodada 157 | Execucao 2 | Itens: [FA, TA, JA, BA]
Rodada 157 | Execucao 3 | Itens: [VA, BA, MA, PA]
Rodada 158 | Execucao 1 | Itens: [DA, SA, RA, FA]
Rodada 158 | Execucao 2 | Itens: [RA, GA, TA, QUA]
Rodada 158 | Execucao 3 | Itens: [CA, NA, QUA, GA]
Rodada 159 | Execucao 1 | Itens: [XA, SA, BA, ZA]
Rodada 159 | Execucao 2 | Itens: [PA, A, VA, JA]
Rodada 159 | Execucao 3 | Itens: [TA, XA, ZA, CA]
Rodada 160 | Execucao 1 | Itens: [A, BA, JA, XA]
Rodada 160 | Execucao 2 | Itens: [MA, LA, GA, RA]
Rodada 160 | Execucao 3 | Itens: [MA, VA, DA, JA]
Rodada 161 | Execucao 1 | Itens: [BA, PA, RA, LA]
Rodada 161 | Execucao 2 | Itens: [CA, QUA, A, RA]
Rodada 161 | Execucao 3 | Itens: [GA, QUA, XA, A]
Rodada 162 | Execucao 1 | Itens: [MA, SA, RA, BA]
Rodada 162 | Execucao 2 | Itens: [JA, LA, SA, GA]
Rodada 162 | Execucao 3 | Itens: [ZA, BA, JA, QUA]
Rodada 163 | Execucao 1 | Itens: [GA, ZA, RA, PA]
Rodada 163 | Execucao 2 | Itens: [XA, A, TA, RA]
Rodada 163 | Execucao 3 | Itens: [ZA, XA, TA, QUA]
Rodada 164 | Execucao 1 | Itens: [PA, FA, GA, RA]
Rodada 164 | Execucao 2 | Itens: [GA, QUA, PA, CA]
Rodada 164 | Execucao 3 | Itens: [GA, ZA, JA, PA]
Rodada 165 | Execucao 1 | Itens: [ZA, RA, GA, XA]
Rodada 165 | Execucao 2 | Itens: [GA, LA, JA, VA]
Rodada 165 | Execucao 3 | Itens: [DA, FA, VA, XA]
Rodada 166 | Execucao 1 | Itens: [JA, SA, GA, QUA]
Rodada 166 | Execucao 2 | Itens: [DA, MA, BA, FA]
Rodada 166 | Execucao 3 | Itens: [QUA, FA, PA, BA]
Rodada 167 | Execucao 1 | Itens: [BA, NA, CA, SA]
Rodada 167 | Execucao 2 | Itens: [DA, CA, BA, LA]
Rodada 167 | Execucao 3 | Itens: [MA, QUA, LA, CA]
Rodada 168 | Execucao 1 | Itens: [CA, FA, DA, ZA]
Rodada 168 | Execucao 2 | Itens: [DA, ZA, JA, XA]
Rodada 168 | Execucao 3 | Itens: [DA, LA, RA, JA]
Rodada 169 | Execucao 1 | Itens: [CA, MA, BA, SA]
Rodada 169 | Execucao 2 | Itens: [JA, XA, ZA, PA]
Rodada 169 | Execucao 3 | Itens: [LA, QUA, ZA, SA]
Rodada 170 | Execucao 1 | Itens: [SA, A, FA, XA]
Rodada 170 | Execucao 2 | Itens: [ZA, XA, VA, LA]
Rodada 170 | Execucao 3 | Itens: [GA, VA, A, BA]
Rodada 171 | Execucao 1 | Itens: [NA, TA, QUA, DA]
Rodada 171 | Execucao 2 | Itens: [TA, VA, RA, BA]
Rodada 171 | Execucao 3 | Itens: [QUA, JA, DA, TA]
Rodada 172 | Execucao 1 | Itens: [CA, SA, XA, VA]
Rodada 172 | Execucao 2 | Itens: [NA, JA, MA, LA]
Rodada 172 | Execucao 3 | Itens: [PA, FA, XA, DA]
Rodada 173 | Execucao 1 | Itens: [TA, JA, BA, DA]
Rodada 173 | Execucao 2 | Itens: [GA, VA, PA, BA]
Rodada 173 | Execucao 3 | Itens: [NA, GA, LA, BA]
Rodada 174 | Execucao 1 | Itens: [PA, MA, CA, GA]
Rodada 174 | Execucao 2 | Itens: [CA, QUA, GA, VA]
Rodada 174 | Execucao 3 | Itens: [A, VA, SA, GA]
Rodada 175 | Execucao 1 | Itens: [MA, A, JA, XA]
Rodada 175 | Execucao 2 | Itens: [NA, FA, PA, ZA]
Rodada 175 | Execucao 3 | Itens: [SA, ZA, DA, NA]
Rodada 176 | Execucao 1 | Itens: [PA, FA, QUA, A]
Rodada 176 | Execucao 2 | Itens: [MA, FA, VA, SA]
Rodada 176 | Execucao 3 | Itens: [MA, FA, A, NA]
Rodada 177 | Execucao 1 | Itens: [FA, NA, A, MA]
Rodada 177 | Execucao 2 | Itens: [FA, CA, NA, GA]
Rodada 177 | Execucao 3 | Itens: [RA, VA, SA, TA]
Rodada 178 | Execucao 1 | Itens: [TA, RA, LA, JA]
Rodada 178 | Execucao 2 | Itens: [PA, A, BA, CA]
Rodada 178 | Execucao 3 | Itens: [XA, MA, JA, SA]
Rodada 179 | Execucao 1 | Itens: [PA, JA, A, BA]
Rodada 179 | Execucao 2 | Itens: [DA, GA, NA, RA]
Rodada 179 | Execucao 3 | Itens: [CA, ZA, LA, RA]
Rodada 180 | Execucao 1 | Itens: [CA, BA, MA, FA]
Rodada 180 | Execucao 2 | Itens: [XA, MA, FA, CA]
Rodada 180 | Execucao 3 | Itens: [SA, PA, BA, XA]
Rodada 181 | Execucao 1 | Itens: [A, FA, XA, GA]
Rodada 181 | Execucao 2 | Itens: [XA, ZA, DA, FA]
Rodada 181 | Execucao 3 | Itens: [QUA, RA, ZA, DA]
Rodada 182 | Execucao 1 | Itens: [A, TA, ZA, MA]
Rodada 182 | Execucao 2 | Itens: [MA, NA, SA, XA]
Rodada 182 | Execucao 3 | Itens: [LA, SA, TA, XA]
Rodada 183 | Execucao 1 | Itens: [VA, QUA, FA, GA]
Rodada 183 | Execucao 2 | Itens: [MA, DA, CA, LA]
Rodada 183 | Execucao 3 | Itens: [GA, PA, QUA, NA]
Rodada 184 | Execucao 1 | Itens: [QUA, JA, CA, DA]
Rodada 184 | Execucao 2 | Itens: [LA, DA, NA, PA]
Rodada 184 | Execucao 3 | Itens: [XA, FA, GA, NA]
Rodada 185 | Execucao 1 | Itens: [JA, A, RA, XA]
Rodada 185 | Execucao 2 | Itens: [QUA, ZA, GA, DA]
Rodada 185 | Execucao 3 | Itens: [TA, CA, GA, DA]
Rodada 186 | Execucao 1 | Itens: [BA, QUA, A, JA]
Rodada 186 | Execucao 2 | Itens: [BA, ZA, CA, GA]
Rodada 186 | Execucao 3 | Itens: [TA, RA, MA, LA]
Rodada 187 | Execucao 1 | Itens: [FA, NA, JA, VA]
Rodada 187 | Execucao 2 | Itens: [FA, TA, PA, DA]
Rodada 187 | Execucao 3 | Itens: [XA, RA, BA, NA]
Rodada 188 | Execucao 1 | Itens: [SA, NA, FA, PA]
Rodada 188 | Execucao 2 | Itens: [LA, JA, DA, RA]
Rodada 188 | Execucao 3 | Itens: [CA, ZA, TA, DA]
Rodada 189 | Execucao 1 | Itens: [RA, BA, ZA, FA]
Rodada 189 | Execucao 2 | Itens: [RA, VA, GA, A]
Rodada 189 | Execucao 3 | Itens: [LA, JA, TA, MA]
Rodada 190 | Execucao 1 | Itens: [ZA, VA, JA, PA]
Rodada 190 | Execucao 2 | Itens: [RA, ZA, QUA, CA]
Rodada 190 | Execucao 3 | Itens: [GA, CA, LA, SA]
Rodada 191 | Execucao 1 | Itens: [A, NA, TA, BA]
Rodada 191 | Execucao 2 | Itens: [DA, LA, TA, MA]
Rodada 191 | Execucao 3 | Itens: [PA, JA, CA, GA]
Rodada 192 | Execucao 1 | Itens: [DA, BA, CA, QUA]
Rodada 192 | Execucao 2 | Itens: [LA, GA, TA, DA]
Rodada 192 | Execucao 3 | Itens: [LA, NA, VA, CA]
Rodada 193 | Execucao 1 | Itens: [DA, NA, SA, ZA]
Rodada 193 | Execucao 2 | Itens: [NA, DA, VA, JA]
Rodada 193 | Execucao 3 | Itens: [NA, GA, RA, XA]
Rodada 194 | Execucao 1 | Itens: [NA, LA, MA, BA]
Rodada 194 | Execucao 2 | Itens: [RA, QUA, TA, CA]
Rodada 194 | Execucao 3 | Itens: [QUA, BA, CA, PA]
Rodada 195 | Execucao 1 | Itens: [LA, BA, A, JA]
Rodada 195 | Execucao 2 | Itens: [XA, FA, MA, GA]
Rodada 195 | Execucao 3 | Itens: [TA, XA, RA, PA]
Rodada 196 | Execucao 1 | Itens: [XA, NA, GA, FA]
Rodada 196 | Execucao 2 | Itens: [TA, BA, DA, SA]
Rodada 196 | Execucao 3 | Itens: [RA, ZA, QUA, MA]
Rodada 197 | Execucao 1 | Itens: [PA, FA, NA, MA]
Rodada 197 | Execucao 2 | Itens: [RA, VA, NA, SA]
Rodada 197 | Execucao 3 | Itens: [QUA, ZA, SA, JA]
Rodada 198 | Execucao 1 | Itens: [BA, XA, SA, FA]
Rodada 198 | Execucao 2 | Itens: [RA, FA, XA, A]
Rodada 198 | Execucao 3 | Itens: [GA, DA, LA, CA]
Rodada 199 | Execucao 1 | Itens: [BA, PA, VA, TA]
Rodada 199 | Execucao 2 | Itens: [TA, RA, ZA, LA]
Rodada 199 | Execucao 3 | Itens: [SA, XA, NA, JA]
Rodada 200 | Execucao 1 | Itens: [XA, GA, CA, MA]
Rodada 200 | Execucao 2 | Itens: [PA, RA, NA, BA]
Rodada 200 | Execucao 3 | Itens: [SA, FA, TA, GA]

----------------------------------------------------------------------
  CATEGORIA: Silabas - Vogal O
----------------------------------------------------------------------
Rodada 001 | Execucao 1 | Itens: [TO, FO, DO, O]
Rodada 001 | Execucao 2 | Itens: [TO, VO, QUO, MO]
Rodada 001 | Execucao 3 | Itens: [QUO, JO, O, TO]
Rodada 002 | Execucao 1 | Itens: [QUO, O, ZO, CO]
Rodada 002 | Execucao 2 | Itens: [GO, BO, XO, PO]
Rodada 002 | Execucao 3 | Itens: [XO, BO, LO, MO]
Rodada 003 | Execucao 1 | Itens: [MO, VO, JO, XO]
Rodada 003 | Execucao 2 | Itens: [TO, VO, SO, RO]
Rodada 003 | Execucao 3 | Itens: [TO, SO, GO, PO]
Rodada 004 | Execucao 1 | Itens: [MO, ZO, RO, NO]
Rodada 004 | Execucao 2 | Itens: [FO, PO, QUO, VO]
Rodada 004 | Execucao 3 | Itens: [ZO, DO, QUO, LO]
Rodada 005 | Execucao 1 | Itens: [O, VO, BO, XO]
Rodada 005 | Execucao 2 | Itens: [XO, ZO, O, TO]
Rodada 005 | Execucao 3 | Itens: [QUO, GO, XO, RO]
Rodada 006 | Execucao 1 | Itens: [CO, JO, ZO, BO]
Rodada 006 | Execucao 2 | Itens: [CO, XO, DO, TO]
Rodada 006 | Execucao 3 | Itens: [BO, NO, SO, VO]
Rodada 007 | Execucao 1 | Itens: [RO, TO, O, XO]
Rodada 007 | Execucao 2 | Itens: [JO, LO, FO, DO]
Rodada 007 | Execucao 3 | Itens: [CO, XO, VO, SO]
Rodada 008 | Execucao 1 | Itens: [PO, FO, GO, JO]
Rodada 008 | Execucao 2 | Itens: [VO, ZO, RO, NO]
Rodada 008 | Execucao 3 | Itens: [O, GO, ZO, PO]
Rodada 009 | Execucao 1 | Itens: [JO, O, DO, RO]
Rodada 009 | Execucao 2 | Itens: [FO, SO, GO, RO]
Rodada 009 | Execucao 3 | Itens: [O, XO, MO, ZO]
Rodada 010 | Execucao 1 | Itens: [CO, NO, ZO, GO]
Rodada 010 | Execucao 2 | Itens: [PO, O, RO, XO]
Rodada 010 | Execucao 3 | Itens: [ZO, MO, FO, QUO]
Rodada 011 | Execucao 1 | Itens: [BO, GO, CO, VO]
Rodada 011 | Execucao 2 | Itens: [XO, BO, MO, FO]
Rodada 011 | Execucao 3 | Itens: [FO, O, RO, CO]
Rodada 012 | Execucao 1 | Itens: [JO, GO, NO, QUO]
Rodada 012 | Execucao 2 | Itens: [NO, JO, RO, LO]
Rodada 012 | Execucao 3 | Itens: [TO, XO, DO, FO]
Rodada 013 | Execucao 1 | Itens: [MO, XO, O, GO]
Rodada 013 | Execucao 2 | Itens: [DO, MO, ZO, PO]
Rodada 013 | Execucao 3 | Itens: [PO, XO, CO, QUO]
Rodada 014 | Execucao 1 | Itens: [PO, MO, SO, VO]
Rodada 014 | Execucao 2 | Itens: [ZO, SO, PO, GO]
Rodada 014 | Execucao 3 | Itens: [CO, DO, RO, XO]
Rodada 015 | Execucao 1 | Itens: [GO, BO, SO, PO]
Rodada 015 | Execucao 2 | Itens: [VO, SO, MO, ZO]
Rodada 015 | Execucao 3 | Itens: [LO, SO, NO, RO]
Rodada 016 | Execucao 1 | Itens: [NO, XO, TO, QUO]
Rodada 016 | Execucao 2 | Itens: [VO, CO, ZO, TO]
Rodada 016 | Execucao 3 | Itens: [CO, PO, ZO, MO]
Rodada 017 | Execucao 1 | Itens: [PO, FO, VO, SO]
Rodada 017 | Execucao 2 | Itens: [XO, DO, LO, O]
Rodada 017 | Execucao 3 | Itens: [NO, TO, LO, BO]
Rodada 018 | Execucao 1 | Itens: [NO, LO, MO, TO]
Rodada 018 | Execucao 2 | Itens: [GO, MO, VO, O]
Rodada 018 | Execucao 3 | Itens: [NO, XO, GO, O]
Rodada 019 | Execucao 1 | Itens: [RO, QUO, NO, TO]
Rodada 019 | Execucao 2 | Itens: [VO, GO, CO, DO]
Rodada 019 | Execucao 3 | Itens: [JO, LO, DO, PO]
Rodada 020 | Execucao 1 | Itens: [TO, NO, SO, ZO]
Rodada 020 | Execucao 2 | Itens: [O, CO, FO, VO]
Rodada 020 | Execucao 3 | Itens: [XO, LO, NO, SO]
Rodada 021 | Execucao 1 | Itens: [DO, MO, QUO, SO]
Rodada 021 | Execucao 2 | Itens: [JO, TO, XO, BO]
Rodada 021 | Execucao 3 | Itens: [QUO, TO, LO, FO]
Rodada 022 | Execucao 1 | Itens: [SO, ZO, QUO, MO]
Rodada 022 | Execucao 2 | Itens: [GO, XO, FO, QUO]
Rodada 022 | Execucao 3 | Itens: [CO, RO, GO, TO]
Rodada 023 | Execucao 1 | Itens: [O, RO, JO, TO]
Rodada 023 | Execucao 2 | Itens: [VO, CO, DO, FO]
Rodada 023 | Execucao 3 | Itens: [ZO, BO, CO, VO]
Rodada 024 | Execucao 1 | Itens: [MO, XO, JO, LO]
Rodada 024 | Execucao 2 | Itens: [VO, GO, JO, NO]
Rodada 024 | Execucao 3 | Itens: [VO, SO, DO, QUO]
Rodada 025 | Execucao 1 | Itens: [FO, LO, PO, O]
Rodada 025 | Execucao 2 | Itens: [RO, SO, JO, LO]
Rodada 025 | Execucao 3 | Itens: [BO, NO, LO, O]
Rodada 026 | Execucao 1 | Itens: [NO, QUO, DO, PO]
Rodada 026 | Execucao 2 | Itens: [MO, ZO, SO, QUO]
Rodada 026 | Execucao 3 | Itens: [QUO, ZO, GO, BO]
Rodada 027 | Execucao 1 | Itens: [FO, LO, O, MO]
Rodada 027 | Execucao 2 | Itens: [VO, JO, PO, FO]
Rodada 027 | Execucao 3 | Itens: [VO, BO, DO, TO]
Rodada 028 | Execucao 1 | Itens: [CO, GO, TO, JO]
Rodada 028 | Execucao 2 | Itens: [TO, DO, MO, XO]
Rodada 028 | Execucao 3 | Itens: [JO, DO, GO, FO]
Rodada 029 | Execucao 1 | Itens: [MO, FO, XO, JO]
Rodada 029 | Execucao 2 | Itens: [VO, ZO, CO, FO]
Rodada 029 | Execucao 3 | Itens: [RO, MO, BO, TO]
Rodada 030 | Execucao 1 | Itens: [FO, RO, GO, BO]
Rodada 030 | Execucao 2 | Itens: [QUO, ZO, JO, NO]
Rodada 030 | Execucao 3 | Itens: [TO, DO, JO, O]
Rodada 031 | Execucao 1 | Itens: [GO, NO, ZO, DO]
Rodada 031 | Execucao 2 | Itens: [NO, SO, QUO, DO]
Rodada 031 | Execucao 3 | Itens: [XO, NO, SO, CO]
Rodada 032 | Execucao 1 | Itens: [XO, PO, JO, MO]
Rodada 032 | Execucao 2 | Itens: [VO, XO, QUO, MO]
Rodada 032 | Execucao 3 | Itens: [BO, FO, LO, O]
Rodada 033 | Execucao 1 | Itens: [MO, FO, CO, BO]
Rodada 033 | Execucao 2 | Itens: [XO, MO, LO, DO]
Rodada 033 | Execucao 3 | Itens: [DO, QUO, O, NO]
Rodada 034 | Execucao 1 | Itens: [VO, RO, ZO, QUO]
Rodada 034 | Execucao 2 | Itens: [JO, XO, LO, SO]
Rodada 034 | Execucao 3 | Itens: [ZO, CO, MO, VO]
Rodada 035 | Execucao 1 | Itens: [BO, TO, VO, CO]
Rodada 035 | Execucao 2 | Itens: [SO, GO, TO, LO]
Rodada 035 | Execucao 3 | Itens: [GO, PO, RO, DO]
Rodada 036 | Execucao 1 | Itens: [DO, QUO, JO, CO]
Rodada 036 | Execucao 2 | Itens: [DO, MO, VO, ZO]
Rodada 036 | Execucao 3 | Itens: [SO, O, JO, BO]
Rodada 037 | Execucao 1 | Itens: [FO, SO, GO, LO]
Rodada 037 | Execucao 2 | Itens: [LO, NO, RO, QUO]
Rodada 037 | Execucao 3 | Itens: [DO, SO, PO, O]
Rodada 038 | Execucao 1 | Itens: [LO, QUO, SO, JO]
Rodada 038 | Execucao 2 | Itens: [PO, SO, LO, QUO]
Rodada 038 | Execucao 3 | Itens: [ZO, XO, GO, SO]
Rodada 039 | Execucao 1 | Itens: [ZO, DO, GO, NO]
Rodada 039 | Execucao 2 | Itens: [BO, SO, ZO, CO]
Rodada 039 | Execucao 3 | Itens: [QUO, BO, PO, LO]
Rodada 040 | Execucao 1 | Itens: [RO, NO, LO, QUO]
Rodada 040 | Execucao 2 | Itens: [NO, MO, QUO, XO]
Rodada 040 | Execucao 3 | Itens: [QUO, ZO, SO, VO]
Rodada 041 | Execucao 1 | Itens: [QUO, MO, BO, GO]
Rodada 041 | Execucao 2 | Itens: [O, GO, VO, TO]
Rodada 041 | Execucao 3 | Itens: [TO, FO, LO, CO]
Rodada 042 | Execucao 1 | Itens: [CO, JO, LO, VO]
Rodada 042 | Execucao 2 | Itens: [JO, CO, VO, XO]
Rodada 042 | Execucao 3 | Itens: [CO, SO, GO, MO]
Rodada 043 | Execucao 1 | Itens: [XO, QUO, CO, FO]
Rodada 043 | Execucao 2 | Itens: [QUO, TO, MO, PO]
Rodada 043 | Execucao 3 | Itens: [NO, RO, O, QUO]
Rodada 044 | Execucao 1 | Itens: [SO, O, DO, XO]
Rodada 044 | Execucao 2 | Itens: [SO, QUO, ZO, VO]
Rodada 044 | Execucao 3 | Itens: [LO, VO, CO, DO]
Rodada 045 | Execucao 1 | Itens: [QUO, LO, BO, MO]
Rodada 045 | Execucao 2 | Itens: [NO, MO, SO, ZO]
Rodada 045 | Execucao 3 | Itens: [PO, JO, SO, VO]
Rodada 046 | Execucao 1 | Itens: [RO, SO, FO, QUO]
Rodada 046 | Execucao 2 | Itens: [FO, MO, ZO, XO]
Rodada 046 | Execucao 3 | Itens: [TO, BO, VO, MO]
Rodada 047 | Execucao 1 | Itens: [LO, O, CO, FO]
Rodada 047 | Execucao 2 | Itens: [NO, MO, XO, TO]
Rodada 047 | Execucao 3 | Itens: [CO, BO, TO, O]
Rodada 048 | Execucao 1 | Itens: [BO, JO, TO, RO]
Rodada 048 | Execucao 2 | Itens: [NO, BO, GO, VO]
Rodada 048 | Execucao 3 | Itens: [LO, RO, FO, XO]
Rodada 049 | Execucao 1 | Itens: [CO, DO, FO, JO]
Rodada 049 | Execucao 2 | Itens: [PO, FO, BO, TO]
Rodada 049 | Execucao 3 | Itens: [VO, NO, GO, LO]
Rodada 050 | Execucao 1 | Itens: [GO, LO, QUO, ZO]
Rodada 050 | Execucao 2 | Itens: [JO, DO, RO, MO]
Rodada 050 | Execucao 3 | Itens: [VO, PO, O, QUO]
Rodada 051 | Execucao 1 | Itens: [RO, SO, TO, JO]
Rodada 051 | Execucao 2 | Itens: [FO, PO, NO, SO]
Rodada 051 | Execucao 3 | Itens: [CO, FO, TO, XO]
Rodada 052 | Execucao 1 | Itens: [JO, GO, XO, RO]
Rodada 052 | Execucao 2 | Itens: [BO, DO, O, JO]
Rodada 052 | Execucao 3 | Itens: [QUO, CO, RO, TO]
Rodada 053 | Execucao 1 | Itens: [VO, JO, CO, QUO]
Rodada 053 | Execucao 2 | Itens: [MO, NO, FO, TO]
Rodada 053 | Execucao 3 | Itens: [LO, GO, SO, PO]
Rodada 054 | Execucao 1 | Itens: [XO, BO, VO, ZO]
Rodada 054 | Execucao 2 | Itens: [QUO, VO, MO, ZO]
Rodada 054 | Execucao 3 | Itens: [XO, SO, JO, O]
Rodada 055 | Execucao 1 | Itens: [RO, MO, VO, GO]
Rodada 055 | Execucao 2 | Itens: [BO, FO, MO, SO]
Rodada 055 | Execucao 3 | Itens: [CO, RO, GO, QUO]
Rodada 056 | Execucao 1 | Itens: [XO, BO, TO, MO]
Rodada 056 | Execucao 2 | Itens: [FO, PO, TO, JO]
Rodada 056 | Execucao 3 | Itens: [LO, CO, PO, O]
Rodada 057 | Execucao 1 | Itens: [VO, NO, DO, MO]
Rodada 057 | Execucao 2 | Itens: [FO, TO, ZO, SO]
Rodada 057 | Execucao 3 | Itens: [CO, ZO, BO, DO]
Rodada 058 | Execucao 1 | Itens: [QUO, RO, DO, TO]
Rodada 058 | Execucao 2 | Itens: [CO, TO, SO, PO]
Rodada 058 | Execucao 3 | Itens: [TO, RO, DO, BO]
Rodada 059 | Execucao 1 | Itens: [XO, TO, NO, QUO]
Rodada 059 | Execucao 2 | Itens: [PO, XO, BO, MO]
Rodada 059 | Execucao 3 | Itens: [BO, RO, TO, XO]
Rodada 060 | Execucao 1 | Itens: [TO, PO, O, VO]
Rodada 060 | Execucao 2 | Itens: [RO, TO, JO, MO]
Rodada 060 | Execucao 3 | Itens: [O, ZO, DO, FO]
Rodada 061 | Execucao 1 | Itens: [RO, TO, FO, JO]
Rodada 061 | Execucao 2 | Itens: [QUO, VO, RO, FO]
Rodada 061 | Execucao 3 | Itens: [XO, VO, CO, PO]
Rodada 062 | Execucao 1 | Itens: [RO, VO, GO, SO]
Rodada 062 | Execucao 2 | Itens: [FO, VO, QUO, BO]
Rodada 062 | Execucao 3 | Itens: [MO, NO, PO, ZO]
Rodada 063 | Execucao 1 | Itens: [FO, GO, JO, CO]
Rodada 063 | Execucao 2 | Itens: [VO, DO, JO, NO]
Rodada 063 | Execucao 3 | Itens: [SO, RO, GO, XO]
Rodada 064 | Execucao 1 | Itens: [XO, FO, NO, SO]
Rodada 064 | Execucao 2 | Itens: [GO, CO, PO, NO]
Rodada 064 | Execucao 3 | Itens: [NO, CO, GO, DO]
Rodada 065 | Execucao 1 | Itens: [SO, NO, FO, PO]
Rodada 065 | Execucao 2 | Itens: [NO, BO, VO, RO]
Rodada 065 | Execucao 3 | Itens: [SO, CO, BO, QUO]
Rodada 066 | Execucao 1 | Itens: [DO, GO, QUO, XO]
Rodada 066 | Execucao 2 | Itens: [GO, DO, MO, RO]
Rodada 066 | Execucao 3 | Itens: [O, TO, NO, QUO]
Rodada 067 | Execucao 1 | Itens: [QUO, NO, MO, SO]
Rodada 067 | Execucao 2 | Itens: [O, QUO, FO, CO]
Rodada 067 | Execucao 3 | Itens: [O, XO, NO, BO]
Rodada 068 | Execucao 1 | Itens: [XO, FO, VO, JO]
Rodada 068 | Execucao 2 | Itens: [MO, LO, FO, ZO]
Rodada 068 | Execucao 3 | Itens: [O, PO, ZO, SO]
Rodada 069 | Execucao 1 | Itens: [LO, PO, JO, NO]
Rodada 069 | Execucao 2 | Itens: [LO, MO, XO, FO]
